id,churn_probability,churn_probability,logit,,,log,cp,case,,,,,T,F,
69999,0,0,TRUE,27797,0.926566667,0,0,TRUE,27404,,T,1,2231,,1768
70000,0,0,TRUE,2203,,0,0,TRUE,2596,0.913466667,T,0,25173,,
70001,1,1,TRUE,,,1,1,TRUE,,,,,,,
70002,0,0,TRUE,,,0,0,TRUE,,,F,1,,,
70003,0,0,TRUE,,,0,0,TRUE,,,F,0,828,,
70004,1,1,TRUE,,,1,1,TRUE,26941,3059,,,,,
70005,0,0,TRUE,,,0,0,TRUE,25173,2231,,,,,
70006,0,0,TRUE,,,0,0,TRUE,0.934375116,0.729323308,,,,,
70007,0,0,TRUE,,,0,0,TRUE,Recall,Recall,,,,,
70008,1,0,FALSE,,,1,1,TRUE,,,,,,,
70009,0,0,TRUE,,,0,0,TRUE,,,,,,,
70010,0,0,TRUE,,,0,0,TRUE,,,,,,,
70011,0,0,TRUE,,,0,0,TRUE,,,,,,,
70012,0,0,TRUE,,,0,0,TRUE,,,,,,,
70013,0,0,TRUE,,,0,0,TRUE,,,,,,,
70014,0,0,TRUE,,,1,0,TRUE,,,,,,,
70015,0,0,TRUE,,,0,0,TRUE,,,,,,,
70016,0,0,TRUE,,,0,0,TRUE,,,,,,,
70017,0,0,TRUE,,,1,0,TRUE,,,,,,,
70018,0,0,TRUE,,,1,0,TRUE,,,,,,,
70019,1,1,TRUE,,,1,1,TRUE,,,,,,,
70020,1,0,FALSE,,,1,0,FALSE,,,,,,,
70021,0,0,TRUE,,,0,0,TRUE,,,,,,,
70022,0,0,TRUE,,,0,0,TRUE,,,,,,,
70023,0,0,TRUE,,,0,0,TRUE,,,,,,,
70024,0,0,TRUE,,,0,0,TRUE,,,,,,,
70025,0,0,TRUE,,,0,0,TRUE,,,,,,,
70026,0,0,TRUE,,,0,0,TRUE,,,,,,,
70027,0,0,TRUE,,,0,0,TRUE,,,,,,,
70028,0,0,TRUE,,,0,0,TRUE,,,,,,,
70029,0,0,TRUE,,,0,0,TRUE,,,,,,,
70030,0,0,TRUE,,,0,0,TRUE,,,,,,,
70031,0,0,TRUE,,,0,0,TRUE,,,,,,,
70032,1,1,TRUE,,,1,1,TRUE,,,,,,,
